City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,ivankiv,50.9386,29.8943,65.75,74,100,7.99,UA,Wed Sep 11 21:53:52 2024
150,bubaque,11.2833,-15.8333,80.62,85,100,15.77,GW,Wed Sep 11 21:53:52 2024
151,kavieng,-2.5744,150.7967,80.38,84,100,6.11,PG,Wed Sep 11 21:53:52 2024
152,konosha,60.9736,40.257,57.15,78,81,6.71,RU,Wed Sep 11 21:53:52 2024
153,port elizabeth,-33.918,25.5701,62.89,99,100,20.71,ZA,Wed Sep 11 21:53:52 2024
154,lihue,21.9789,-159.3672,83.79,67,0,10.36,US,Wed Sep 11 21:53:52 2024
155,lijiang,26.8688,100.2207,65.39,77,2,3.06,CN,Wed Sep 11 21:53:52 2024
156,holualoa,19.6228,-155.9522,82.24,78,0,13.8,US,Wed Sep 11 21:53:53 2024
157,iskateley,67.6803,53.1512,55.98,92,39,9.08,RU,Wed Sep 11 21:53:53 2024
158,jumla,29.2747,82.1838,61.7,78,100,2.37,NP,Wed Sep 11 21:49:42 2024
159,al bawiti,28.3492,28.8659,80.29,69,0,9.73,EG,Wed Sep 11 21:53:53 2024
160,ariquemes,-9.9133,-63.0408,83.91,37,34,2.3,BR,Wed Sep 11 21:53:53 2024
161,mahdia,35.5047,11.0622,74.88,62,0,5.75,TN,Wed Sep 11 21:53:53 2024
162,mukwonago,42.8667,-88.3334,69.1,75,0,0.0,US,Wed Sep 11 21:53:53 2024
163,stanley,54.868,-1.6985,42.28,87,0,6.91,GB,Wed Sep 11 21:53:53 2024
164,codrington,-38.2667,141.9667,53.19,69,100,10.13,AU,Wed Sep 11 21:53:53 2024
165,santa ana,33.7456,-117.8678,72.91,71,20,11.5,US,Wed Sep 11 21:51:29 2024
166,vorkuta,67.5,64.0,53.26,88,76,10.78,RU,Wed Sep 11 21:53:54 2024
167,morondava,-20.2833,44.2833,72.36,65,6,7.61,MG,Wed Sep 11 21:53:54 2024
168,nuuk,64.1835,-51.7216,47.01,76,100,2.3,GL,Wed Sep 11 21:53:54 2024
169,fair plain,42.087,-86.4559,67.98,70,0,0.0,US,Wed Sep 11 21:53:54 2024
170,ketchikan,55.3422,-131.6461,64.78,59,0,9.22,US,Wed Sep 11 21:53:54 2024
171,bardai,11.65,7.2333,71.46,91,60,6.85,NG,Wed Sep 11 21:53:54 2024
172,darnah,32.767,22.6367,78.31,74,1,6.53,LY,Wed Sep 11 21:53:54 2024
173,isoka,-10.1606,32.6335,60.04,59,36,0.78,ZM,Wed Sep 11 21:53:54 2024
174,alofi,-19.0595,-169.9187,80.49,69,75,18.41,NU,Wed Sep 11 21:53:55 2024
175,el calafate,-50.3408,-72.2768,39.36,80,6,8.5,AR,Wed Sep 11 21:51:33 2024
176,papatowai,-46.5619,169.4708,41.31,95,100,8.41,NZ,Wed Sep 11 21:53:55 2024
177,santa terezinha,-29.9002,-50.0904,64.26,96,100,12.26,BR,Wed Sep 11 21:53:55 2024
178,bel ombre,-4.6167,55.4167,80.44,83,40,16.11,SC,Wed Sep 11 21:53:55 2024
179,suntar,62.1444,117.6319,42.37,86,100,9.86,RU,Wed Sep 11 21:53:55 2024
180,kailua-kona,19.6406,-155.9956,85.96,77,0,13.8,US,Wed Sep 11 21:53:55 2024
181,kingston,17.997,-76.7936,85.15,74,75,6.91,JM,Wed Sep 11 21:49:53 2024
182,tuy hoa,13.0833,109.3,88.88,61,100,9.89,VN,Wed Sep 11 21:53:55 2024
183,porto novo,6.4965,2.6036,78.62,90,100,7.45,BJ,Wed Sep 11 21:53:56 2024
184,masterton,-40.9597,175.6575,56.79,57,90,11.01,NZ,Wed Sep 11 21:53:56 2024
185,craig,40.5153,-107.5464,65.82,32,41,9.04,US,Wed Sep 11 21:53:56 2024
186,puerto deseado,-47.7503,-65.8938,48.81,51,9,11.45,AR,Wed Sep 11 21:53:56 2024
187,port moresby,-9.4431,147.1797,87.22,58,40,11.5,PG,Wed Sep 11 21:53:56 2024
188,fale old settlement,-9.3852,-171.2468,81.01,85,100,18.59,TK,Wed Sep 11 21:53:56 2024
189,ulsteinvik,62.3432,5.8487,52.75,86,100,5.99,NO,Wed Sep 11 21:53:56 2024
190,robertsport,6.7533,-11.3686,77.72,88,100,10.45,LR,Wed Sep 11 21:53:56 2024
191,lospalos,-8.5186,127.0025,81.48,56,20,13.09,TL,Wed Sep 11 21:53:57 2024
192,saipan,15.1355,145.701,88.5,74,20,18.41,MP,Wed Sep 11 21:53:57 2024
193,mount airy,36.4993,-80.6073,65.84,77,0,4.0,US,Wed Sep 11 21:53:57 2024
194,lindley,-27.8791,27.9135,56.91,69,0,7.54,ZA,Wed Sep 11 21:53:57 2024
195,illizi,26.4833,8.4667,93.49,32,89,10.96,DZ,Wed Sep 11 21:53:57 2024
196,badiyah,22.45,58.8,80.02,64,2,6.08,OM,Wed Sep 11 21:53:57 2024
197,tual,-5.6667,132.75,79.34,81,100,21.94,ID,Wed Sep 11 21:53:57 2024
198,fortuna,40.5982,-124.1573,63.93,90,75,8.05,US,Wed Sep 11 21:53:57 2024
199,timimoun,29.2639,0.231,82.78,30,0,20.71,DZ,Wed Sep 11 21:53:58 2024
200,hadibu,12.65,54.0333,76.98,86,84,16.6,YE,Wed Sep 11 21:53:58 2024
201,klyuchi,52.2667,79.1667,46.44,67,25,13.89,RU,Wed Sep 11 21:53:58 2024
202,taro,-8.3862,115.28,82.27,41,57,6.33,ID,Wed Sep 11 21:53:58 2024
203,howrah,22.5892,88.3103,86.0,89,75,5.75,IN,Wed Sep 11 21:53:58 2024
204,castillos,-34.1667,-53.8333,47.79,90,100,5.84,UY,Wed Sep 11 21:53:58 2024
205,taulaga,-11.0553,-171.0883,81.9,82,25,19.8,AS,Wed Sep 11 21:49:33 2024
206,prince george,53.9166,-122.753,65.64,45,75,5.75,CA,Wed Sep 11 21:53:58 2024
207,coari,-4.085,-63.1414,80.85,47,5,2.57,BR,Wed Sep 11 21:53:58 2024
208,ballina,-28.8667,153.5667,70.39,75,78,10.25,AU,Wed Sep 11 21:53:59 2024
209,yeniseysk,58.4497,92.1703,43.18,73,100,3.31,RU,Wed Sep 11 21:53:59 2024
210,chifeng,42.2683,118.9636,69.8,43,90,1.66,CN,Wed Sep 11 21:53:59 2024
211,nova sintra,14.8667,-24.7167,80.64,84,100,9.06,CV,Wed Sep 11 21:53:59 2024
212,nouadhibou,20.931,-17.0347,73.38,68,10,16.11,MR,Wed Sep 11 21:53:59 2024
213,zhezqazghan,47.7833,67.7667,52.38,76,0,15.66,KZ,Wed Sep 11 21:53:59 2024
214,wajir,1.7471,40.0573,74.3,53,9,14.54,KE,Wed Sep 11 21:53:59 2024
215,poso,-1.3959,120.7524,87.67,48,79,3.2,ID,Wed Sep 11 21:53:59 2024
216,paulden,34.8856,-112.4682,84.38,19,0,11.01,US,Wed Sep 11 21:54:00 2024
217,saint-joseph,-21.3667,55.6167,70.18,81,34,2.37,RE,Wed Sep 11 21:54:00 2024
218,coracao de jesus,-16.6853,-44.365,70.11,47,100,8.77,BR,Wed Sep 11 21:54:00 2024
219,kavaratti,10.5669,72.642,80.96,83,49,12.41,IN,Wed Sep 11 21:54:00 2024
220,djambala,-2.5447,14.7533,70.0,88,100,1.86,CG,Wed Sep 11 21:54:00 2024
221,polyarnyy,69.1989,33.4478,55.92,80,11,13.0,RU,Wed Sep 11 21:54:00 2024
222,mahina,-17.5065,-149.489,83.97,65,20,13.8,PF,Wed Sep 11 21:54:00 2024
223,naze,28.3667,129.4833,85.12,76,15,14.2,JP,Wed Sep 11 21:54:00 2024
224,lata,40.1629,-8.3327,54.23,98,100,3.49,PT,Wed Sep 11 21:54:00 2024
225,olinala,17.8333,-98.85,68.92,94,100,4.79,MX,Wed Sep 11 21:54:01 2024
